,artId,external relations_y,freedom and democracy_y,political system_y,economy_y,welfare and quality of life_y,fabric of society_y,social groups_y,orientation,group,vote,Âge,Genre_F,Genre_H,District_Brig,District_Conthey,District_Entremont,District_Goms,District_Hérens,District_Leuk,District_Martigny,District_Monthey,District_Sierre,District_Sion,District_St-Maurice,District_Visp,District_Westlich Raron,District_Östlich Raron
80,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,G,oui,61,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
81,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,G,oui,38,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
82,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,CD,oui,47,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
83,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,G,oui,39,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
84,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,CD,non,58,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
85,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,D,non,60,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
86,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,CD,oui,51,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,G,oui,68,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
88,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,G,oui,73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,CD,non,47,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,D,oui,70,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
91,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,D,oui,66,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
92,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,CD,non,49,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
93,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,D,oui,59,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
94,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,G,oui,35,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
95,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,CD,oui,67,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
96,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,D,non,29,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
97,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,CD,oui,51,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
98,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,G,oui,68,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
99,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,CD,oui,47,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,G,oui,46,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
101,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,D,oui,34,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
102,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,CD,abst,68,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,606,0.0,0.0,0.0,0.0,99.2,0.1,0.7,-0.4637340301974448,G,oui,73,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
